DZ,"Precipitation of drizzle"
RA,"Precipitation of rain"
SN,"Precipitation of snow"
SG,"Precipitation of snow grains"
PL,"Precipitation of ice pellets"
UP,"Unidentified precipitation"
DZRA,"Precipitation of drizzle and rain"
RADZ,"Precipitation of rain and drizzle"
SNDZ,"Precipitation of snow and drizzle"
SGDZ,"Precipitation of snow grains and drizzle"
PLDZ,"Precipitation of ice pellets and drizzle"
DZSN,"Precipitation of drizzle and snow"
RASN,"Precipitation of rain and snow"
SNRA,"Precipitation of snow and rain"
SGRA,"Precipitation of snow grains and rain"
PLRA,"Precipitation of ice pellets and rain"
DZSG,"Precipitation of drizzle and snow grains"
RASG,"Precipitation of rain and snow grains"
SNSG,"Precipitation of snow and snow grains"
SGSN,"Precipitation of snow grains and snow"
PLSN,"Precipitation of ice pellets and snow"
DZPL,"Precipitation of drizzle and ice pellets"
RAPL,"Precipitation of rain and ice pellets"
SNPL,"Precipitation of snow and ice pellets"
SGPL,"Precipitation of snow grains and ice pellets"
PLSG,"Precipitation of ice pellets and snow grains"
DZRASN,"Precipitation of drizzle, rain and snow"
DZSNRA,"Precipitation of drizzle, snow and rain"
RADZSN,"Precipitation of rain, drizzle and snow"
RASNDZ,"Precipitation of rain, snow and drizzle"
SNDZRA,"Precipitation of snow, drizzle and rain"
SNRADZ,"Precipitation of snow, rain and drizzle"
DZRASG,"Precipitation of drizzle, rain and snow grains"
DZSGRA,"Precipitation of drizzle, snow grains and rain"
RADZSG,"Precipitation of rain, drizzle and snow grains"
RASGDZ,"Precipitation of rain, snow grains and drizzle"
SGDZRA,"Precipitation of snow grains, drizzle and rain"
SGRADZ,"Precipitation of snow grains, rain and drizzle"
DZRAPL,"Precipitation of drizzle, rain and ice pellets"
DZPLRA,"Precipitation of drizzle, ice pellets and rain"
RADZPL,"Precipitation of rain, drizzle and ice pellets"
RAPLDZ,"Precipitation of rain, ice pellets and drizzle"
PLDZRA,"Precipitation of ice pellets, drizzle and rain"
PLRADZ,"Precipitation of ice pellets, rain and drizzle"
RASNSG,"Precipitation of rain, snow and snow grains"
RASGSN,"Precipitation of rain, snow grains and snow"
SNRASG,"Precipitation of snow, rain and snow grains"
SNSGRA,"Precipitation of snow, snow grains and rain"
SGRASN,"Precipitation of snow grains, rain and snow"
SGSNRA,"Precipitation of snow grains, snow and rain"
RASNPL,"Precipitation of rain, snow and ice pellets"
RAPLSN,"Precipitation of rain, ice pellets and snow"
SNRAPL,"Precipitation of snow, rain and ice pellets"
SNPLRA,"Precipitation of snow, ice pellets and rain"
PLRASN,"Precipitation of ice pellets, rain and snow"
PLSNRA,"Precipitation of ice pellets, snow and rain"
PLSNSG,"Precipitation of ice pellets, snow and snow grains"
PLSGSN,"Precipitation of ice pellets, snow grains and snow"
SNPLSG,"Precipitation of snow, ice pellets and snow grains"
SNSGPL,"Precipitation of snow, snow grains and ice pellets"
SGPLSN,"Precipitation of snow grains, ice pellets and snow"
SGSNPL,"Precipitation of snow grains, snow and ice pellets"
+DZ,"Heavy precipitation of drizzle"
+RA,"Heavy precipitation of rain"
+SN,"Heavy precipitation of snow"
+SG,"Heavy precipitation of snow grains"
+PL,"Heavy precipitation of ice pellets"
+UP,"Heavy unidentified precipitation"
+DZRA,"Heavy precipitation of drizzle and rain"
+RADZ,"Heavy precipitation of rain and drizzle"
+SNDZ,"Heavy precipitation of snow and drizzle"
+SGDZ,"Heavy precipitation of snow grains and drizzle"
+PLDZ,"Heavy precipitation of ice pellets and drizzle"
+DZSN,"Heavy precipitation of drizzle and snow"
+RASN,"Heavy precipitation of rain and snow"
+SNRA,"Heavy precipitation of snow and rain"
+SGRA,"Heavy precipitation of snow grains and rain"
+PLRA,"Heavy precipitation of ice pellets and rain"
+DZSG,"Heavy precipitation of drizzle and snow grains"
+RASG,"Heavy precipitation of rain and snow grains"
+SNSG,"Heavy precipitation of snow and snow grains"
+SGSN,"Heavy precipitation of snow grains and snow"
+PLSN,"Heavy precipitation of ice pellets and snow"
+DZPL,"Heavy precipitation of drizzle and ice pellets"
+RAPL,"Heavy precipitation of rain and ice pellets"
+SNPL,"Heavy precipitation of snow and ice pellets"
+SGPL,"Heavy precipitation of snow grains and ice pellets"
+PLSG,"Heavy precipitation of ice pellets and snow grains"
+DZRASN,"Heavy precipitation of drizzle, rain and snow"
+DZSNRA,"Heavy precipitation of drizzle, snow and rain"
+RADZSN,"Heavy precipitation of rain, drizzle and snow"
+RASNDZ,"Heavy precipitation of rain, snow and drizzle"
+SNDZRA,"Heavy precipitation of snow, drizzle and rain"
+SNRADZ,"Heavy precipitation of snow, rain and drizzle"
+DZRASG,"Heavy precipitation of drizzle, rain and snow grains"
+DZSGRA,"Heavy precipitation of drizzle, snow grains and rain"
+RADZSG,"Heavy precipitation of rain, drizzle and snow grains"
+RASGDZ,"Heavy precipitation of rain, snow grains and drizzle"
+SGDZRA,"Heavy precipitation of snow grains, drizzle and rain"
+SGRADZ,"Heavy precipitation of snow grains, rain and drizzle"
+DZRAPL,"Heavy precipitation of drizzle, rain and ice pellets"
+DZPLRA,"Heavy precipitation of drizzle, ice pellets and rain"
+RADZPL,"Heavy precipitation of rain, drizzle and ice pellets"
+RAPLDZ,"Heavy precipitation of rain, ice pellets and drizzle"
+PLDZRA,"Heavy precipitation of ice pellets, drizzle and rain"
+PLRADZ,"Heavy precipitation of ice pellets, rain and drizzle"
+RASNSG,"Heavy precipitation of rain, snow and snow grains"
+RASGSN,"Heavy precipitation of rain, snow grains and snow"
+SNRASG,"Heavy precipitation of snow, rain and snow grains"
+SNSGRA,"Heavy precipitation of snow, snow grains and rain"
+SGRASN,"Heavy precipitation of snow grains, rain and snow"
+SGSNRA,"Heavy precipitation of snow grains, snow and rain"
+RASNPL,"Heavy precipitation of rain, snow and ice pellets"
+RAPLSN,"Heavy precipitation of rain, ice pellets and snow"
+SNRAPL,"Heavy precipitation of snow, rain and ice pellets"
