-DZ,"Light precipitation of drizzle"
-RA,"Light precipitation of rain"
-SN,"Light precipitation of snow"
-SG,"Light precipitation of snow grains"
-PL,"Light precipitation of ice pellets"
-UP,"Light unidentified precipitation"
-DZRA,"Light precipitation of drizzle and rain"
-RADZ,"Light precipitation of rain and drizzle"
-SNDZ,"Light precipitation of snow and drizzle"
-SGDZ,"Light precipitation of snow grains and drizzle"
-PLDZ,"Light precipitation of ice pellets and drizzle"
-DZSN,"Light precipitation of drizzle and snow"
-RASN,"Light precipitation of rain and snow"
-SNRA,"Light precipitation of snow and rain"
-SGRA,"Light precipitation of snow grains and rain"
-PLRA,"Light precipitation of ice pellets and rain"
-DZSG,"Light precipitation of drizzle and snow grains"
-RASG,"Light precipitation of rain and snow grains"
-SNSG,"Light precipitation of snow and snow grains"
-SGSN,"Light precipitation of snow grains and snow"
-PLSN,"Light precipitation of ice pellets and snow"
-DZPL,"Light precipitation of drizzle and ice pellets"
-RAPL,"Light precipitation of rain and ice pellets"
-SNPL,"Light precipitation of snow and ice pellets"
-SGPL,"Light precipitation of snow grains and ice pellets"
-PLSG,"Light precipitation of ice pellets and snow grains"
-DZRASN,"Light precipitation of drizzle, rain and snow"
-DZSNRA,"Light precipitation of drizzle, snow and rain"
-RADZSN,"Light precipitation of rain, drizzle and snow"
-RASNDZ,"Light precipitation of rain, snow and drizzle"
-SNDZRA,"Light precipitation of snow, drizzle and rain"
-SNRADZ,"Light precipitation of snow, rain and drizzle"
-DZRASG,"Light precipitation of drizzle, rain and snow grains"
-DZSGRA,"Light precipitation of drizzle, snow grains and rain"
-RADZSG,"Light precipitation of rain, drizzle and snow grains"
-RASGDZ,"Light precipitation of rain, snow grains and drizzle"
-SGDZRA,"Light precipitation of snow grains, drizzle and rain"
-SGRADZ,"Light precipitation of snow grains, rain and drizzle"
-DZRAPL,"Light precipitation of drizzle, rain and ice pellets"
-DZPLRA,"Light precipitation of drizzle, ice pellets and rain"
-RADZPL,"Light precipitation of rain, drizzle and ice pellets"
-RAPLDZ,"Light precipitation of rain, ice pellets and drizzle"
-PLDZRA,"Light precipitation of ice pellets, drizzle and rain"
-PLRADZ,"Light precipitation of ice pellets, rain and drizzle"
-RASNSG,"Light precipitation of rain, snow and snow grains"
-RASGSN,"Light precipitation of rain, snow grains and snow"
-SNRASG,"Light precipitation of snow, rain and snow grains"
-SNSGRA,"Light precipitation of snow, snow grains and rain"
-SGRASN,"Light precipitation of snow grains, rain and snow"
-SGSNRA,"Light precipitation of snow grains, snow and rain"
-RASNPL,"Light precipitation of rain, snow and ice pellets"
-RAPLSN,"Light precipitation of rain, ice pellets and snow"
-SNRAPL,"Light precipitation of snow, rain and ice pellets"
-SNPLRA,"Light precipitation of snow, ice pellets and rain"
-PLRASN,"Light precipitation of ice pellets, rain and snow"
-PLSNRA,"Light precipitation of ice pellets, snow and rain"
-PLSNSG,"Light precipitation of ice pellets, snow and snow grains"
-PLSGSN,"Light precipitation of ice pellets, snow grains and snow"
-SNPLSG,"Light precipitation of snow, ice pellets and snow grains"
-SNSGPL,"Light precipitation of snow, snow grains and ice pellets"
-SGPLSN,"Light precipitation of snow grains, ice pellets and snow"
-SGSNPL,"Light precipitation of snow grains, snow and ice pellets"
DZ,"Precipitation of drizzle"
RA,"Precipitation of rain"
SN,"Precipitation of snow"
SG,"Precipitation of snow grains"
PL,"Precipitation of ice pellets"
UP,"Unidentified precipitation"
DZRA,"Precipitation of drizzle and rain"
RADZ,"Precipitation of rain and drizzle"
SNDZ,"Precipitation of snow and drizzle"
SGDZ,"Precipitation of snow grains and drizzle"
PLDZ,"Precipitation of ice pellets and drizzle"
DZSN,"Precipitation of drizzle and snow"
RASN,"Precipitation of rain and snow"
SNRA,"Precipitation of snow and rain"
SGRA,"Precipitation of snow grains and rain"
PLRA,"Precipitation of ice pellets and rain"
DZSG,"Precipitation of drizzle and snow grains"
RASG,"Precipitation of rain and snow grains"
SNSG,"Precipitation of snow and snow grains"
SGSN,"Precipitation of snow grains and snow"
PLSN,"Precipitation of ice pellets and snow"
DZPL,"Precipitation of drizzle and ice pellets"
RAPL,"Precipitation of rain and ice pellets"
SNPL,"Precipitation of snow and ice pellets"
SGPL,"Precipitation of snow grains and ice pellets"
PLSG,"Precipitation of ice pellets and snow grains"
DZRASN,"Precipitation of drizzle, rain and snow"
DZSNRA,"Precipitation of drizzle, snow and rain"
RADZSN,"Precipitation of rain, drizzle and snow"
RASNDZ,"Precipitation of rain, snow and drizzle"
SNDZRA,"Precipitation of snow, drizzle and rain"
SNRADZ,"Precipitation of snow, rain and drizzle"
DZRASG,"Precipitation of drizzle, rain and snow grains"
DZSGRA,"Precipitation of drizzle, snow grains and rain"
RADZSG,"Precipitation of rain, drizzle and snow grains"
RASGDZ,"Precipitation of rain, snow grains and drizzle"
SGDZRA,"Precipitation of snow grains, drizzle and rain"
SGRADZ,"Precipitation of snow grains, rain and drizzle"
DZRAPL,"Precipitation of drizzle, rain and ice pellets"
DZPLRA,"Precipitation of drizzle, ice pellets and rain"
RADZPL,"Precipitation of rain, drizzle and ice pellets"
RAPLDZ,"Precipitation of rain, ice pellets and drizzle"
PLDZRA,"Precipitation of ice pellets, drizzle and rain"
PLRADZ,"Precipitation of ice pellets, rain and drizzle"
RASNSG,"Precipitation of rain, snow and snow grains"
RASGSN,"Precipitation of rain, snow grains and snow"
SNRASG,"Precipitation of snow, rain and snow grains"
SNSGRA,"Precipitation of snow, snow grains and rain"
SGRASN,"Precipitation of snow grains, rain and snow"
SGSNRA,"Precipitation of snow grains, snow and rain"
RASNPL,"Precipitation of rain, snow and ice pellets"
RAPLSN,"Precipitation of rain, ice pellets and snow"
SNRAPL,"Precipitation of snow, rain and ice pellets"
SNPLRA,"Precipitation of snow, ice pellets and rain"
PLRASN,"Precipitation of ice pellets, rain and snow"
PLSNRA,"Precipitation of ice pellets, snow and rain"
PLSNSG,"Precipitation of ice pellets, snow and snow grains"
PLSGSN,"Precipitation of ice pellets, snow grains and snow"
SNPLSG,"Precipitation of snow, ice pellets and snow grains"
SNSGPL,"Precipitation of snow, snow grains and ice pellets"
SGPLSN,"Precipitation of snow grains, ice pellets and snow"
SGSNPL,"Precipitation of snow grains, snow and ice pellets"
+DZ,"Heavy precipitation of drizzle"
+RA,"Heavy precipitation of rain"
+SN,"Heavy precipitation of snow"
+SG,"Heavy precipitation of snow grains"
+PL,"Heavy precipitation of ice pellets"
+UP,"Heavy unidentified precipitation"
+DZRA,"Heavy precipitation of drizzle and rain"
+RADZ,"Heavy precipitation of rain and drizzle"
+SNDZ,"Heavy precipitation of snow and drizzle"
+SGDZ,"Heavy precipitation of snow grains and drizzle"
+PLDZ,"Heavy precipitation of ice pellets and drizzle"
+DZSN,"Heavy precipitation of drizzle and snow"
+RASN,"Heavy precipitation of rain and snow"
+SNRA,"Heavy precipitation of snow and rain"
+SGRA,"Heavy precipitation of snow grains and rain"
+PLRA,"Heavy precipitation of ice pellets and rain"
+DZSG,"Heavy precipitation of drizzle and snow grains"
+RASG,"Heavy precipitation of rain and snow grains"
+SNSG,"Heavy precipitation of snow and snow grains"
+SGSN,"Heavy precipitation of snow grains and snow"
+PLSN,"Heavy precipitation of ice pellets and snow"
+DZPL,"Heavy precipitation of drizzle and ice pellets"
+RAPL,"Heavy precipitation of rain and ice pellets"
+SNPL,"Heavy precipitation of snow and ice pellets"
+SGPL,"Heavy precipitation of snow grains and ice pellets"
+PLSG,"Heavy precipitation of ice pellets and snow grains"
+DZRASN,"Heavy precipitation of drizzle, rain and snow"
+DZSNRA,"Heavy precipitation of drizzle, snow and rain"
+RADZSN,"Heavy precipitation of rain, drizzle and snow"
+RASNDZ,"Heavy precipitation of rain, snow and drizzle"
+SNDZRA,"Heavy precipitation of snow, drizzle and rain"
+SNRADZ,"Heavy precipitation of snow, rain and drizzle"
+DZRASG,"Heavy precipitation of drizzle, rain and snow grains"
+DZSGRA,"Heavy precipitation of drizzle, snow grains and rain"
+RADZSG,"Heavy precipitation of rain, drizzle and snow grains"
+RASGDZ,"Heavy precipitation of rain, snow grains and drizzle"
+SGDZRA,"Heavy precipitation of snow grains, drizzle and rain"
+SGRADZ,"Heavy precipitation of snow grains, rain and drizzle"
+DZRAPL,"Heavy precipitation of drizzle, rain and ice pellets"
+DZPLRA,"Heavy precipitation of drizzle, ice pellets and rain"
+RADZPL,"Heavy precipitation of rain, drizzle and ice pellets"
+RAPLDZ,"Heavy precipitation of rain, ice pellets and drizzle"
+PLDZRA,"Heavy precipitation of ice pellets, drizzle and rain"
+PLRADZ,"Heavy precipitation of ice pellets, rain and drizzle"
+RASNSG,"Heavy precipitation of rain, snow and snow grains"
+RASGSN,"Heavy precipitation of rain, snow grains and snow"
+SNRASG,"Heavy precipitation of snow, rain and snow grains"
+SNSGRA,"Heavy precipitation of snow, snow grains and rain"
+SGRASN,"Heavy precipitation of snow grains, rain and snow"
+SGSNRA,"Heavy precipitation of snow grains, snow and rain"
+RASNPL,"Heavy precipitation of rain, snow and ice pellets"
+RAPLSN,"Heavy precipitation of rain, ice pellets and snow"
+SNRAPL,"Heavy precipitation of snow, rain and ice pellets"
+SNPLRA,"Heavy precipitation of snow, ice pellets and rain"
+PLRASN,"Heavy precipitation of ice pellets, rain and snow"
+PLSNRA,"Heavy precipitation of ice pellets, snow and rain"
+PLSNSG,"Heavy precipitation of ice pellets, snow and snow grains"
+PLSGSN,"Heavy precipitation of ice pellets, snow grains and snow"
+SNPLSG,"Heavy precipitation of snow, ice pellets and snow grains"
+SNSGPL,"Heavy precipitation of snow, snow grains and ice pellets"
+SGPLSN,"Heavy precipitation of snow grains, ice pellets and snow"
+SGSNPL,"Heavy precipitation of snow grains, snow and ice pellets"
-SHRA,"Light showery precipitation of rain"
-SHSN,"Light showery precipitation of snow"
-SHGR,"Light showery precipitation of hail"
-SHGS,"Light showery precipitation of snow pellets/small hail"
-SHUP,"Light unidentified showery precipitation"
-SHRASN,"Light showery precipitation of rain and snow" 
-SHSNRA,"Light showery precipitation of snow and rain"
-SHGRRA,"Light showery precipitation of hail and rain"
-SHGSRA,"Light showery precipitation of snow pellets/small hail and rain"
-SHRAGR,"Light showery precipitation of rain and hail"
-SHSNGR,"Light showery precipitation of snow and hail"
-SHGRSN,"Light showery precipitation of hail and snow"
-SHGSSN,"Light showery precipitation of snow pellets/small hail and snow"
-SHRAGS,"Light showery precipitation of rain and snow pellets/small hail"
-SHSNGS,"Light showery precipitation of snow and snow pellets/small hail"
-SHRASNGR,"Light showery precipitation of rain, snow and hail"
-SHRAGRSN,"Light showery precipitation of rain, hail and snow"
-SHSNRAGR,"Light showery precipitation of snow, rain and hail"
-SHSNGRRA,"Light showery precipitation of snow, hail and rain"
-SHGRRASN,"Light showery precipitation of hail, rain and snow"
-SHGRSNRA,"Light showery precipitation of hail, snow and rain"
-SHRASNGS,"Light showery precipitation of rain, snow and snow pellets/small hail"
-SHRAGSSN,"Light showery precipitation of rain, snow pellets/small hail and snow"
-SHSNRAGS,"Light showery precipitation of snow, rain and snow pellets/small hail"
-SHSNGSRA,"Light showery precipitation of snow, snow pellets/small hail and rain"
-SHGSRASN,"Light showery precipitation of snow pellets/small hail, rain and snow"
-SHGSSNRA,"Light showery precipitation of snow pellets/small hail, snow and rain"
SHRA,"Showery precipitation of rain"
SHSN,"Showery precipitation of snow"
SHGR,"Showery precipitation of hail"
SHGS,"Showery precipitation of snow pellets/small hail"
SHUP,"Unidentified showery precipitation"
SHRASN,"Showery precipitation of rain and snow" 
SHSNRA,"Showery precipitation of snow and rain"
SHGRRA,"Showery precipitation of hail and rain"
SHGSRA,"Showery precipitation of snow pellets/small hail and rain"
SHRAGR,"Showery precipitation of rain and hail"
SHSNGR,"Showery precipitation of snow and hail"
SHGRSN,"Showery precipitation of hail and snow"
SHGSSN,"Showery precipitation of snow pellets/small hail and snow"
SHRAGS,"Showery precipitation of rain and snow pellets/small hail"
SHSNGS,"Showery precipitation of snow and snow pellets/small hail"
SHRASNGR,"Showery precipitation of rain, snow and hail"
SHRAGRSN,"Showery precipitation of rain, hail and snow"
SHSNRAGR,"Showery precipitation of snow, rain and hail"
SHSNGRRA,"Showery precipitation of snow, hail and rain"
SHGRRASN,"Showery precipitation of hail, rain and snow"
SHGRSNRA,"Showery precipitation of hail, snow and rain"
SHRASNGS,"Showery precipitation of rain, snow and snow pellets/small hail"
SHRAGSSN,"Showery precipitation of rain, snow pellets/small hail and snow"
SHSNRAGS,"Showery precipitation of snow, rain and snow pellets/small hail"
SHSNGSRA,"Showery precipitation of snow, snow pellets/small hail and rain"
SHGSRASN,"Showery precipitation of snow pellets/small hail, rain and snow"
SHGSSNRA,"Showery precipitation of snow pellets/small hail, snow and rain"
+SHRA,"Heavy showery precipitation of rain"
+SHSN,"Heavy showery precipitation of snow"
+SHGR,"Heavy showery precipitation of hail"
+SHGS,"Heavy showery precipitation of snow pellets/small hail"
+SHUP,"Heavy unidentified showery precipitation"
+SHRASN,"Heavy showery precipitation of rain and snow" 
+SHSNRA,"Heavy showery precipitation of snow and rain"
+SHGRRA,"Heavy showery precipitation of hail and rain"
+SHGSRA,"Heavy showery precipitation of snow pellets/small hail and rain"
+SHRAGR,"Heavy showery precipitation of rain and hail"
+SHSNGR,"Heavy showery precipitation of snow and hail"
+SHGRSN,"Heavy showery precipitation of hail and snow"
+SHGSSN,"Heavy showery precipitation of snow pellets/small hail and snow"
+SHRAGS,"Heavy showery precipitation of rain and snow pellets/small hail"
+SHSNGS,"Heavy showery precipitation of snow and snow pellets/small hail"
+SHRASNGR,"Heavy showery precipitation of rain, snow and hail"
+SHRAGRSN,"Heavy showery precipitation of rain, hail and snow"
+SHSNRAGR,"Heavy showery precipitation of snow, rain and hail"
+SHSNGRRA,"Heavy showery precipitation of snow, hail and rain"
+SHGRRASN,"Heavy showery precipitation of hail, rain and snow"
+SHGRSNRA,"Heavy showery precipitation of hail, snow and rain"
+SHRASNGS,"Heavy showery precipitation of rain, snow and snow pellets/small hail"
+SHRAGSSN,"Heavy showery precipitation of rain, snow pellets/small hail and snow"
+SHSNRAGS,"Heavy showery precipitation of snow, rain and snow pellets/small hail"
+SHSNGSRA,"Heavy showery precipitation of snow, snow pellets/small hail and rain"
+SHGSRASN,"Heavy showery precipitation of snow pellets/small hail, rain and snow"
+SHGSSNRA,"Heavy showery precipitation of snow pellets/small hail, snow and rain"
-TSRA,"Thunderstorm with light precipitation of rain"
